QBarcode,Sex,DOBYear,Age,Country,Ethn,Ethn1,Ethn2,Ethn3,Ethn4,Ethn5,EthnO,EthnOth,EthnDK,Race1,Race2,Race3,Race4,Race5,RaceO,RaceDK,RaceOth,Litho1,Educ,Marital,InsTyp1,InsTyp2,InsTyp3,InsTyp4,InsTypNo,InsTypO,InsTypDK,InsurOth,HHInc,NumSuprt,Litho2,Educ2,Multiracial
2761,2,1912,93,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1480,2,3,,1.0,1.0,,,,,,6,1,1480,2,0
2762,2,1928,77,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,0,1,0,0,0,0,,1477,2,3,1.0,1.0,,,,88.0,,CATT CLINIC,2,1,1477,2,0
2772,2,1936,69,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1406,2,1,,1.0,1.0,,,,,,6,2,1406,2,0
2775,1,1937,69,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200502,2,1,,1.0,,,,88.0,,AETNA,77,1,200502,2,0
2789,1,1957,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204107,2,1,,,1.0,,,,,,4,4,204107,2,0
2792,1,1925,80,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204110,4,1,,1.0,1.0,,,,,,6,2,204110,3,0
2794,1,1960,46,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,208670,2,5,1.0,,,,,,,,1,1,208670,2,0
2796,1,1934,72,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200504,5,1,,,1.0,,,,,,5,2,200504,3,0
2800,1,1957,49,AUSTRALIA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200505,5,1,,,,1.0,,,,,5,4,200505,3,0
2801,1,1955,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204185,4,1,,,1.0,,,,77.0,,5,5,204185,3,0
2802,1,1927,78,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,206294,3,1,,1.0,,,,,,AMERICAN PROGRESSIVE,3,2,206294,3,0
2803,1,1947,58,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204188,2,1,,,1.0,,,,,,3,2,204188,2,0
2805,1,1946,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,204102,4,1,,,1.0,,,,,,5,2,204102,3,0
2807,1,1975,31,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204104,3,6,1.0,,,,,,,,2,1,204104,3,0
2809,1,1950,55,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204162,5,1,,,1.0,,,,,,5,3,204162,3,0
2814,1,1946,60,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204163,3,1,,,,,,,,,5,2,204163,3,0
2815,1,1947,58,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200464,3,1,,,1.0,,,,,,4,2,200464,3,0
2819,1,1925,80,UNITED KINGDOM,99,99,99,99,99,99,99,,99,1,0,0,0,0,0,0,,204121,1,3,,,,,,,,GM,2,1,204121,1,0
2820,1,1938,67,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,200581,99,99,,,,,,,,,99,999,200581,99,0
2822,1,1941,64,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,204180,3,5,,,1.0,,,,,,3,1,204180,3,0
2824,2,1927,79,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,4645,5,3,,1.0,1.0,,,,,,5,1,4645,3,0
2826,2,1922,84,CANADA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,4642,3,3,,1.0,,,,88.0,,MEDICARE SUPPLIMENT,2,1,4642,3,0
2830,2,1973,32,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1525,4,1,,,1.0,,,,,,5,3,1525,3,0
2831,2,1953,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3885,3,1,,,1.0,,,,,,5,4,3885,3,0
2832,2,1959,47,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3898,2,5,,,1.0,,,,,,2,1,3898,2,0
2834,2,1946,59,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3897,3,1,,,1.0,,,,,,3,2,3897,3,0
2837,2,1966,39,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1522,3,1,,,1.0,,,,,,3,5,1522,3,0
2838,2,1927,78,UNITED STATES OF AMERICA,0,66,66,66,66,66,88,,66,1,0,0,0,0,0,0,,3661,1,3,,1.0,,,,,,,2,1,3661,1,0
2841,2,1933,73,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3818,4,1,,1.0,,,,88.0,,,2,2,3818,3,0
2842,2,1945,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,3425,1,1,,,1.0,,,,,,2,2,3425,1,0
2844,2,1943,62,CZECHOSLOVAKIA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3892,1,3,,,,1.0,,,,,6,1,3892,1,0
2846,2,1955,51,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3910,2,1,,,1.0,,,,,,3,1,3910,2,0
2847,2,1923,83,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3909,1,3,1.0,1.0,,,,,,,77,1,3909,1,0
2849,2,1935,70,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,3906,1,1,,,,1.0,,,,,6,2,3906,1,0
2852,2,1956,51,UNITED STATES OF AMERICA,1,0,0,0,0,0,0,,0,1,0,0,0,0,0,0,,11245,4,1,,,1.0,,,88.0,,FL HEALTH CARE,4,2,11245,3,0
2859,1,1935,70,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202513,3,1,,1.0,,,,,,,3,2,202513,3,0
2861,1,1952,54,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202512,2,1,,,1.0,,,,,,4,2,202512,2,0
2864,1,1942,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202469,4,1,,,1.0,,,,,,5,2,202469,3,0
2866,1,1945,61,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,200586,3,1,,1.0,,,,88.0,,TRICARE,5,3,200586,3,0
2869,2,1924,81,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1210,1,1,,,1.0,,,,,,2,2,1210,1,0
2870,2,1947,58,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1209,4,1,,,1.0,,,,,,4,2,1209,3,0
2873,2,1959,46,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,0,1,0,0,0,0,0,,3665,3,4,1.0,,,,,,,,1,3,3665,3,0
2888,1,1953,52,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202464,3,1,,,1.0,,,,,,4,4,202464,3,0
2894,2,1943,63,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1105,3,1,,,1.0,,,,,,3,2,1105,3,0
2895,2,1951,54,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1106,2,5,1.0,,,,,,,FAMILY HEALTH PLUS,2,1,1106,2,0
2905,1,1951,55,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,202520,5,1,,,1.0,,,,,,5,5,202520,3,0
2907,2,1958,48,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,419,2,2,,1.0,,,,88.0,,IHA,2,2,419,2,0
2908,2,1960,45,UNITED STATES OF AMERICA,0,66,66,66,66,66,66,,66,1,0,0,0,0,0,0,,1116,3,1,,,1.0,,,,,,4,6,1116,3,0
